entry_date,exit_date,direction,entry_price,stop_loss,take_profit,exit_price,result,pnl,balance,bars_held,di_plus_entry,di_minus_entry,adx_entry
2026-01-16 12:55:00+00:00,2026-01-16 15:25:00+00:00,SELL,0.66998,0.67064,0.66833,0.66833,WIN,250.0,10250.0,30,11.23,35.9,33.4
2026-01-16 15:40:00+00:00,2026-01-16 16:40:00+00:00,SELL,0.66744,0.66847,0.66486,0.66847,LOSS,-102.5,10147.5,12,11.18,39.8,32.46
2026-01-18 22:05:00+00:00,2026-01-18 23:30:00+00:00,SELL,0.66715,0.66862,0.66348,0.66862,LOSS,-101.48,10046.02,17,13.79,50.91,22.0
2026-01-18 23:35:00+00:00,2026-01-19 00:05:00+00:00,BUY,0.6689,0.66808,0.67095,0.66808,LOSS,-100.46,9945.56,6,39.23,19.91,23.2
2026-01-19 05:25:00+00:00,2026-01-19 07:35:00+00:00,BUY,0.66998,0.66908,0.67223,0.66908,LOSS,-99.46,9846.11,26,42.45,6.24,52.35
2026-01-19 15:05:00+00:00,2026-01-20 04:35:00+00:00,BUY,0.67137,0.67066,0.67314,0.67314,WIN,246.15,10092.26,162,36.73,14.5,16.32
2026-01-20 04:40:00+00:00,2026-01-20 08:00:00+00:00,BUY,0.67322,0.67268,0.67457,0.67457,WIN,252.31,10344.57,40,41.32,7.79,62.42
2026-01-21 01:40:00+00:00,2026-01-21 02:30:00+00:00,BUY,0.67428,0.67364,0.67588,0.67364,LOSS,-103.45,10241.12,10,39.73,8.94,28.01
2026-01-21 06:35:00+00:00,2026-01-21 12:25:00+00:00,BUY,0.67444,0.67373,0.67622,0.67622,WIN,256.03,10497.15,70,36.94,8.24,37.07
2026-01-21 12:30:00+00:00,2026-01-21 17:30:00+00:00,BUY,0.67643,0.67557,0.67858,0.67557,LOSS,-104.97,10392.18,60,41.31,8.59,40.35
2026-01-22 00:35:00+00:00,2026-01-23 16:30:00+00:00,BUY,0.67898,0.67559,0.68746,0.68746,WIN,259.8,10651.98,479,61.53,8.3,36.88
2026-01-23 17:15:00+00:00,2026-01-23 18:05:00+00:00,BUY,0.68837,0.68776,0.6899,0.68776,LOSS,-106.52,10545.46,10,35.86,14.17,29.3
2026-01-25 22:05:00+00:00,2026-01-27 20:45:00+00:00,BUY,0.69192,0.68921,0.6987,0.6987,WIN,263.64,10809.1,560,51.35,19.3,37.44
2026-01-27 20:50:00+00:00,2026-01-29 15:25:00+00:00,BUY,0.70124,0.69742,0.71079,0.69742,LOSS,-108.09,10701.01,511,45.03,13.82,26.0
2026-01-29 15:30:00+00:00,2026-01-29 16:45:00+00:00,SELL,0.69823,0.70125,0.69068,0.70125,LOSS,-107.01,10594.0,15,5.21,42.36,44.71
2026-01-29 21:30:00+00:00,2026-01-29 23:15:00+00:00,BUY,0.70528,0.70428,0.70778,0.70428,LOSS,-105.94,10488.06,21,41.93,13.92,33.22
2026-01-30 00:30:00+00:00,2026-01-30 02:15:00+00:00,SELL,0.70333,0.70496,0.69926,0.69926,WIN,262.2,10750.26,21,14.44,38.28,15.92
2026-01-30 02:20:00+00:00,2026-01-30 03:00:00+00:00,SELL,0.69836,0.7005,0.69301,0.7005,LOSS,-107.5,10642.76,8,5.01,43.74,57.01
2026-01-30 09:55:00+00:00,2026-01-30 10:10:00+00:00,SELL,0.6976,0.69912,0.6938,0.69912,LOSS,-106.43,10536.33,3,13.9,36.22,18.44
2026-01-30 12:00:00+00:00,2026-01-30 12:45:00+00:00,BUY,0.7025,0.70046,0.7076,0.70046,LOSS,-105.36,10430.97,9,41.11,14.38,23.52
2026-01-30 18:20:00+00:00,2026-01-30 18:45:00+00:00,SELL,0.69468,0.69643,0.6903,0.69643,LOSS,-104.31,10326.66,5,7.54,39.51,39.71
2026-02-01 22:55:00+00:00,2026-02-01 23:35:00+00:00,SELL,0.69408,0.695,0.69178,0.695,LOSS,-103.27,10223.39,8,6.87,37.81,49.64
2026-02-02 05:30:00+00:00,2026-02-02 07:25:00+00:00,SELL,0.69274,0.69396,0.68969,0.69396,LOSS,-102.23,10121.16,23,11.3,38.12,36.53
2026-02-03 00:20:00+00:00,2026-02-03 03:30:00+00:00,BUY,0.69648,0.69554,0.69883,0.69883,WIN,253.03,10374.19,38,40.14,11.68,32.51
2026-02-03 03:35:00+00:00,2026-02-05 02:15:00+00:00,BUY,0.70081,0.69606,0.71269,0.69606,LOSS,-103.74,10270.44,560,54.95,10.04,27.33
2026-02-05 02:20:00+00:00,2026-02-05 15:30:00+00:00,SELL,0.69782,0.6992,0.69437,0.69437,WIN,256.76,10527.21,158,9.95,49.72,26.35
2026-02-05 20:45:00+00:00,2026-02-05 23:35:00+00:00,SELL,0.69454,0.69568,0.69169,0.69169,WIN,263.18,10790.39,34,12.14,39.72,27.34
2026-02-05 23:40:00+00:00,2026-02-06 00:15:00+00:00,SELL,0.69176,0.69247,0.68998,0.68998,WIN,269.76,11060.15,7,9.44,47.45,58.94
2026-02-06 00:25:00+00:00,2026-02-06 00:35:00+00:00,SELL,0.69122,0.69186,0.68963,0.69186,LOSS,-110.6,10949.54,2,19.62,41.58,68.24
2026-02-06 02:05:00+00:00,2026-02-06 09:45:00+00:00,BUY,0.69438,0.6931,0.69758,0.69758,WIN,273.74,11223.28,92,36.53,14.69,20.27
2026-02-06 09:50:00+00:00,2026-02-06 10:25:00+00:00,BUY,0.69784,0.69698,0.69999,0.69698,LOSS,-112.23,11111.05,7,38.28,9.86,35.58
2026-02-06 11:50:00+00:00,2026-02-06 14:35:00+00:00,BUY,0.69861,0.69771,0.70086,0.70086,WIN,277.78,11388.83,33,36.47,11.47,26.32
2026-02-06 14:40:00+00:00,2026-02-09 14:10:00+00:00,BUY,0.7011,0.69898,0.7064,0.7064,WIN,284.72,11673.55,282,39.84,11.57,31.61
2026-02-09 14:40:00+00:00,2026-02-11 02:20:00+00:00,BUY,0.70768,0.70634,0.71103,0.71103,WIN,291.84,11965.39,428,35.95,7.09,48.91
2026-02-11 02:25:00+00:00,2026-02-11 13:30:00+00:00,BUY,0.71122,0.70952,0.71547,0.70952,LOSS,-119.65,11845.73,133,46.05,5.19,68.55
2026-02-11 13:35:00+00:00,2026-02-11 13:45:00+00:00,SELL,0.71018,0.71118,0.70768,0.71118,LOSS,-118.46,11727.27,2,4.83,45.43,32.06
2026-02-11 22:25:00+00:00,2026-02-11 23:45:00+00:00,BUY,0.71296,0.71215,0.71498,0.71215,LOSS,-117.27,11610.0,16,36.26,18.69,16.05
2026-02-12 04:45:00+00:00,2026-02-12 10:35:00+00:00,SELL,0.7113,0.71284,0.70745,0.71284,LOSS,-116.1,11493.9,70,12.96,44.15,22.68
2026-02-12 16:15:00+00:00,2026-02-26 01:20:00+00:00,SELL,0.70972,0.71332,0.70072,0.71332,LOSS,-114.94,11378.96,2700,13.67,40.02,19.75
2026-02-26 02:45:00+00:00,2026-02-26 03:20:00+00:00,SELL,0.71196,0.71248,0.71065,0.71248,LOSS,-113.79,11265.17,7,15.74,35.95,23.63
2026-02-26 14:05:00+00:00,2026-02-26 15:20:00+00:00,SELL,0.71056,0.71163,0.70788,0.70788,WIN,281.63,11546.8,15,11.75,38.18,21.95
2026-02-26 15:25:00+00:00,2026-02-26 15:45:00+00:00,SELL,0.70746,0.70947,0.70244,0.70947,LOSS,-115.47,11431.33,4,4.34,51.03,58.38
2026-02-26 17:20:00+00:00,2026-02-26 18:35:00+00:00,SELL,0.7082,0.7094,0.7052,0.7094,LOSS,-114.31,11317.02,15,15.27,36.6,22.34
