entry_time,exit_time,direction,entry_price,sl,tp,result,pnl,balance,timeframe,symbol,config
2025-10-28 23:45:00,2025-10-29 05:00:00,SELL,151.736,152.206,150.326,LOSS,-100.0,9900.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-29 05:15:00,2025-10-29 07:15:00,BUY,152.45,152.035,153.695,LOSS,-99.0,9801.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-29 13:15:00,2025-10-29 17:30:00,SELL,151.912,152.275,150.823,LOSS,-98.01,9702.99,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-30 03:00:00,2025-10-30 03:15:00,SELL,152.189,152.503,151.247,LOSS,-97.03,9605.96,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-30 03:30:00,2025-11-18 17:15:00,BUY,153.014,152.154,155.594,WIN,288.18,9894.14,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 08:15:00,2025-11-19 14:00:00,BUY,155.66,155.421,156.377,WIN,296.82,10190.96,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 14:15:00,2025-11-19 20:00:00,BUY,156.372,156.147,157.047,WIN,305.73,10496.69,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 22:00:00,2025-11-19 23:00:00,BUY,157.099,156.99732,157.40403,LOSS,-104.97,10391.73,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-20 01:45:00,2025-11-21 07:15:00,BUY,157.424,157.028,158.612,LOSS,-103.92,10287.81,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-21 07:30:00,2025-12-01 01:00:00,SELL,156.776,157.203,155.495,WIN,308.63,10596.44,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 10:15:00,2025-12-01 13:30:00,SELL,155.176,155.347,154.663,WIN,317.89,10914.34,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 13:45:00,2025-12-01 14:00:00,SELL,154.844,154.97965,154.43706,LOSS,-109.14,10805.19,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 23:45:00,2025-12-02 08:15:00,BUY,155.564,155.445,155.921,WIN,324.16,11129.35,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-02 08:30:00,2025-12-02 16:15:00,BUY,155.948,155.757,156.521,LOSS,-111.29,11018.05,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-03 00:00:00,2025-12-03 13:15:00,SELL,155.725,155.861,155.317,WIN,330.54,11348.6,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 03:00:00,2025-12-04 04:30:00,BUY,155.452,155.33,155.818,LOSS,-113.49,11235.11,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 04:45:00,2025-12-04 05:30:00,BUY,155.464,155.315,155.911,LOSS,-112.35,11122.76,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 05:45:00,2025-12-05 07:30:00,SELL,155.224,155.515,154.351,WIN,333.68,11456.44,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-05 11:30:00,2025-12-08 01:00:00,BUY,155.17,155.06112,155.49663,LOSS,-114.56,11341.88,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 01:15:00,2025-12-08 05:15:00,SELL,155.039,155.203,154.547,LOSS,-113.42,11228.46,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 10:45:00,2025-12-08 14:15:00,BUY,155.513,155.402,155.846,LOSS,-112.28,11116.17,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 14:30:00,2025-12-09 15:00:00,BUY,155.7,155.382,156.654,WIN,333.49,11449.66,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 09:45:00,2025-12-10 11:00:00,BUY,156.819,156.735,157.071,LOSS,-114.5,11335.16,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 14:00:00,2025-12-10 19:00:00,SELL,156.55,156.665,156.205,WIN,340.05,11675.22,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 23:15:00,2025-12-11 05:45:00,SELL,155.814,156.047,155.115,LOSS,-116.75,11558.47,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-11 12:30:00,2025-12-12 08:45:00,SELL,155.534,155.828,154.652,LOSS,-115.58,11442.88,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-15 01:45:00,2025-12-16 00:00:00,SELL,155.614,155.887,154.795,WIN,343.29,11786.17,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 00:15:00,2025-12-16 00:45:00,SELL,154.944,155.071,154.563,LOSS,-117.86,11668.31,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 01:00:00,2025-12-16 03:00:00,SELL,155.062,155.16988,154.73836,WIN,350.05,12018.35,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 04:15:00,2025-12-16 06:15:00,SELL,154.81,154.921,154.477,LOSS,-120.18,11898.17,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 12:30:00,2025-12-16 13:30:00,SELL,154.722,154.867,154.287,LOSS,-118.98,11779.19,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 13:45:00,2025-12-16 14:00:00,SELL,154.718,154.882,154.226,LOSS,-117.79,11661.4,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 14:30:00,2025-12-17 02:45:00,SELL,154.705,155.007,153.799,LOSS,-116.61,11544.78,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-17 03:00:00,2025-12-17 06:00:00,BUY,154.945,154.83857,155.26428,WIN,346.34,11891.13,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-17 06:15:00,2025-12-19 03:15:00,BUY,155.332,155.071,156.115,WIN,356.73,12247.86,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-19 03:30:00,2025-12-19 17:00:00,BUY,156.094,155.58,157.636,WIN,367.44,12615.3,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-22 13:00:00,2025-12-23 04:00:00,SELL,157.124,157.443,156.167,WIN,378.46,12993.76,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-23 04:15:00,2025-12-23 13:45:00,SELL,156.074,156.331,155.303,LOSS,-129.94,12863.82,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-24 00:00:00,2025-12-24 01:30:00,SELL,156.148,156.292,155.716,WIN,385.91,13249.73,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-24 01:45:00,2025-12-26 00:00:00,SELL,155.656,156.141,154.201,LOSS,-132.5,13117.23,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-26 00:15:00,2025-12-30 08:00:00,BUY,156.169,155.911,156.943,LOSS,-131.17,12986.06,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-30 14:30:00,2025-12-31 13:30:00,BUY,156.276,156.115,156.759,WIN,389.58,13375.64,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-31 13:45:00,2026-01-02 00:45:00,BUY,156.812,156.609,157.421,LOSS,-133.76,13241.89,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-02 01:00:00,2026-01-02 04:00:00,SELL,156.596,156.745,156.149,LOSS,-132.42,13109.47,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-02 04:30:00,2026-01-02 15:00:00,BUY,156.84,156.709,157.233,LOSS,-131.09,12978.37,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-05 00:00:00,2026-01-05 08:15:00,BUY,157.126,156.823,158.035,LOSS,-129.78,12848.59,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-05 10:15:00,2026-01-08 14:00:00,SELL,156.77,157.01,156.05,LOSS,-128.49,12720.1,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-08 14:15:00,2026-01-08 17:00:00,BUY,157.002,156.843,157.479,LOSS,-127.2,12592.9,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-09 02:00:00,2026-01-09 13:30:00,BUY,157.232,157.039,157.811,WIN,377.79,12970.69,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-09 14:00:00,2026-01-23 07:30:00,BUY,157.918,157.365,159.577,LOSS,-129.71,12840.98,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-23 07:45:00,2026-01-23 19:45:00,SELL,158.392,159.237,155.857,WIN,385.23,13226.21,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-25 22:00:00,2026-01-27 13:45:00,SELL,155.128,155.829,153.025,WIN,396.79,13623.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-27 14:00:00,2026-01-27 18:00:00,SELL,153.272,153.50391,152.57627,WIN,408.69,14031.69,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-27 22:00:00,2026-01-27 23:15:00,SELL,152.212,152.461,151.465,LOSS,-140.32,13891.37,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-29 07:15:00,2026-01-29 15:30:00,BUY,153.293,152.98,154.232,LOSS,-138.91,13752.46,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-01-30 00:15:00,2026-01-30 15:00:00,BUY,153.408,153.017,154.581,WIN,412.57,14165.03,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-01 22:15:00,2026-02-02 06:30:00,BUY,155.342,154.705,157.253,LOSS,-141.65,14023.38,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-02 14:15:00,2026-02-03 10:45:00,BUY,155.335,155.135,155.935,WIN,420.7,14444.08,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-03 11:00:00,2026-02-03 13:00:00,BUY,155.948,155.841,156.269,LOSS,-144.44,14299.64,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-03 14:00:00,2026-02-03 14:45:00,BUY,156.029,155.806,156.698,LOSS,-143.0,14156.65,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-04 00:45:00,2026-02-04 09:45:00,BUY,156.026,155.829,156.617,WIN,424.7,14581.35,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-04 10:00:00,2026-02-04 13:45:00,BUY,156.665,156.47,157.25,LOSS,-145.81,14435.53,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-05 07:15:00,2026-02-05 13:00:00,BUY,157.09,156.856,157.792,LOSS,-144.36,14291.18,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-05 13:15:00,2026-02-05 20:45:00,SELL,156.78,157.043,155.991,LOSS,-142.91,14148.27,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-05 23:15:00,2026-02-06 09:00:00,SELL,156.926,157.071,156.491,LOSS,-141.48,14006.78,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-06 09:15:00,2026-02-06 14:30:00,BUY,157.016,156.832,157.568,LOSS,-140.07,13866.72,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-08 23:00:00,2026-02-08 23:45:00,BUY,157.646,157.22,158.924,LOSS,-138.67,13728.05,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-09 00:00:00,2026-02-10 14:30:00,SELL,156.794,157.641,154.253,WIN,411.84,14139.89,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-10 14:45:00,2026-02-11 03:45:00,SELL,154.389,154.667,153.555,WIN,424.2,14564.09,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-11 04:00:00,2026-02-11 06:00:00,SELL,153.514,153.723,152.887,WIN,436.92,15001.01,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-11 06:15:00,2026-02-11 07:00:00,SELL,153.04,153.1947,152.57591,LOSS,-150.01,14851.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-11 07:15:00,2026-02-11 09:15:00,SELL,153.208,153.36779,152.72864,LOSS,-148.51,14702.49,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-12 00:00:00,2026-02-12 01:00:00,BUY,153.397,153.077,154.357,LOSS,-147.02,14555.46,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-12 05:30:00,2026-02-12 08:15:00,BUY,153.15,152.811,154.167,LOSS,-145.55,14409.91,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-12 12:15:00,2026-02-12 14:00:00,BUY,153.434,153.215,154.091,LOSS,-144.1,14265.81,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-13 05:45:00,2026-02-13 13:30:00,BUY,153.296,153.059,154.007,LOSS,-142.66,14123.15,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-16 07:15:00,2026-02-17 02:00:00,BUY,153.288,153.072,153.936,LOSS,-141.23,13981.92,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-17 03:00:00,2026-02-17 13:30:00,SELL,153.076,153.269,152.497,LOSS,-139.82,13842.1,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-17 23:45:00,2026-02-18 01:00:00,SELL,153.134,153.316,152.588,LOSS,-138.42,13703.68,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-18 02:00:00,2026-02-18 14:30:00,BUY,153.594,153.351,154.323,WIN,411.11,14114.79,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-18 14:45:00,2026-02-20 08:45:00,BUY,154.378,153.973,155.593,WIN,423.44,14538.23,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-20 09:00:00,2026-02-20 10:45:00,BUY,155.488,155.285,156.097,LOSS,-145.38,14392.85,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-22 23:00:00,2026-02-23 01:00:00,SELL,154.746,154.981,154.041,WIN,431.79,14824.64,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-23 01:30:00,2026-02-23 03:00:00,SELL,154.19,154.33832,153.74504,LOSS,-148.25,14676.39,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-23 10:15:00,2026-02-23 13:15:00,BUY,154.844,154.72635,155.19694,LOSS,-146.76,14529.63,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-24 01:00:00,2026-02-24 07:00:00,BUY,154.936,154.7,155.644,WIN,435.89,14965.52,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-02-24 07:15:00,2026-03-11 17:15:00,BUY,155.934,154.937,158.925,WIN,448.97,15414.48,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-11 23:15:00,2026-03-12 00:45:00,BUY,159.103,158.935,159.607,LOSS,-154.14,15260.34,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-12 08:00:00,2026-03-12 13:15:00,SELL,158.696,159.009,157.757,LOSS,-152.6,15107.73,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-12 13:45:00,2026-03-12 17:45:00,BUY,158.999,158.89129,159.32212,WIN,453.23,15560.97,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-13 00:00:00,2026-03-13 02:15:00,SELL,159.054,159.336,158.208,LOSS,-155.61,15405.36,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-13 04:30:00,2026-03-13 05:15:00,BUY,159.524,159.338,160.082,LOSS,-154.05,15251.3,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-13 13:30:00,2026-03-13 14:45:00,SELL,159.114,159.373,158.337,LOSS,-152.51,15098.79,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-15 22:00:00,2026-03-15 22:45:00,BUY,159.669,159.508,160.152,LOSS,-150.99,14947.8,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-16 00:15:00,2026-03-16 02:45:00,SELL,159.328,159.593,158.533,LOSS,-149.48,14798.32,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-16 07:00:00,2026-03-17 01:15:00,SELL,159.219,159.419,158.619,LOSS,-147.98,14650.34,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-17 05:45:00,2026-03-17 07:30:00,BUY,159.441,159.21,160.134,LOSS,-146.5,14503.84,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-17 08:00:00,2026-03-17 13:30:00,SELL,159.162,159.297,158.757,WIN,435.12,14938.95,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-17 22:00:00,2026-03-18 00:30:00,SELL,158.923,159.024,158.62,LOSS,-149.39,14789.56,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-18 04:30:00,2026-03-18 08:15:00,SELL,158.834,158.945,158.501,LOSS,-147.9,14641.67,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-18 09:00:00,2026-03-18 09:30:00,BUY,159.048,158.921,159.429,LOSS,-146.42,14495.25,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-18 12:30:00,2026-03-19 12:00:00,BUY,159.368,158.955,160.607,LOSS,-144.95,14350.3,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-19 13:15:00,2026-03-19 17:30:00,SELL,158.784,159.095,157.851,WIN,430.51,14780.81,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-20 09:00:00,2026-03-20 17:00:00,BUY,158.555,158.305,159.305,WIN,443.42,15224.23,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-23 11:00:00,2026-03-26 11:45:00,SELL,158.716,159.643,155.935,LOSS,-152.24,15071.99,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-26 12:30:00,2026-03-26 13:15:00,BUY,159.692,159.547,160.127,LOSS,-150.72,14921.27,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-27 00:45:00,2026-03-27 07:00:00,SELL,159.562,159.776,158.92,LOSS,-149.21,14772.06,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-27 07:15:00,2026-03-30 04:15:00,BUY,159.959,159.661,160.853,LOSS,-147.72,14624.34,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-30 04:30:00,2026-03-30 07:00:00,SELL,159.744,159.84635,159.43696,LOSS,-146.24,14478.09,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-30 11:15:00,2026-03-30 15:15:00,SELL,159.505,159.633,159.121,LOSS,-144.78,14333.31,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-31 02:30:00,2026-03-31 13:15:00,SELL,159.654,159.793,159.237,WIN,430.0,14763.31,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-03-31 13:45:00,2026-04-01 06:45:00,SELL,159.089,159.346,158.318,WIN,442.9,15206.21,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2026-04-01 07:00:00,2026-04-01 07:45:00,SELL,158.318,158.463,157.883,LOSS,-152.06,15054.15,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
