squeeze_threshold,adx_min,require_fvg,target_rr,cooldown_hours,total_trades,win_rate,net_profit,return_pct,max_loss_streak,sharpe
1.3,20,False,3.0,4,9,44.44444444444444,42.13178880000038,11.703274666666772,3,0.9622972934441911
1.2,20,False,3.0,0,6,50.0,36.87779520000038,10.243832000000106,2,1.0433639419756047
1.2,20,False,3.0,4,6,50.0,36.87779520000038,10.243832000000106,2,1.0433639419756047
1.3,20,False,3.0,0,10,40.0,32.41366800000037,9.00379666666677,4,0.7365944033521182
1.3,20,True,3.0,4,7,42.857142857142854,28.71371919999956,7.976033111110989,3,0.764990042542224
1.3,22,False,3.0,4,7,42.857142857142854,28.71371919999956,7.976033111110989,3,0.764990042542224
1.3,22,True,3.0,4,7,42.857142857142854,28.71371919999956,7.976033111110989,3,0.764990042542224
1.2,20,False,2.5,0,6,50.0,26.50224689999999,7.361735249999997,2,0.8595995114369746
1.2,20,False,2.5,4,6,50.0,26.50224689999999,7.361735249999997,2,0.8595995114369746
1.3,20,False,2.5,4,9,44.44444444444444,25.96268159999977,7.211855999999936,3,0.6972434130516365
1.3,20,True,3.0,0,8,37.5,19.552549599999736,5.431263777777705,4,0.5127161282177936
1.3,22,False,3.0,0,8,37.5,19.552549599999736,5.431263777777705,4,0.5127161282177936
1.3,22,True,3.0,0,8,37.5,19.552549599999736,5.431263777777705,4,0.5127161282177936
1.5,20,True,3.0,4,8,37.5,19.317925599999683,5.366090444444356,4,0.5057341384590093
1.5,22,True,3.0,4,8,37.5,19.317925599999683,5.366090444444356,4,0.5057341384590093
1.3,20,False,2.5,0,10,40.0,18.711706399999855,5.197696222222182,4,0.4866410464899215
1.5,22,False,2.5,4,10,40.0,18.33349539999972,5.092637611111033,4,0.4852081153414686
1.3,20,True,2.5,4,7,42.857142857142854,17.662513799999374,4.906253833333159,3,0.5446135173238216
1.3,22,False,2.5,4,7,42.857142857142854,17.662513799999374,4.906253833333159,3,0.5446135173238216
1.3,22,True,2.5,4,7,42.857142857142854,17.662513799999374,4.906253833333159,3,0.5446135173238216
1.2,20,True,3.0,0,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.2,20,True,3.0,4,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.2,22,False,3.0,0,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.2,22,False,3.0,4,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.2,22,True,3.0,0,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.2,22,True,3.0,4,5,40.0,15.682671999999684,4.35629777777769,3,0.5070008862253318
1.5,22,False,3.0,0,12,33.33333333333333,15.103491999999903,4.195414444444418,6,0.338767038024526
1.5,20,True,3.0,0,9,33.33333333333333,12.030113599999765,3.341698222222157,5,0.3062982840544276
1.5,22,True,3.0,0,9,33.33333333333333,12.030113599999765,3.341698222222157,5,0.3062982840544276
1.5,22,False,3.0,4,9,33.33333333333333,11.267812799999547,3.129947999999874,4,0.28560776019561523
1.3,20,True,2.5,0,8,37.5,9.216974599999503,2.560270722222084,4,0.275820641110695
1.3,22,False,2.5,0,8,37.5,9.216974599999503,2.560270722222084,4,0.275820641110695
1.3,22,True,2.5,0,8,37.5,9.216974599999503,2.560270722222084,4,0.275820641110695
1.2,20,True,2.5,0,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.2,20,True,2.5,4,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.2,22,False,2.5,0,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.2,22,False,2.5,4,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.2,22,True,2.5,0,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.2,22,True,2.5,4,5,40.0,9.052328699999578,2.5145357499998826,3,0.33542871419870324
1.5,25,False,2.5,4,8,37.5,9.02723560000004,2.5075654444444555,4,0.2806068152732272
1.5,20,True,2.5,4,8,37.5,8.98235059999945,2.4950973888887362,4,0.2682991123707062
1.5,22,True,2.5,4,8,37.5,8.98235059999945,2.4950973888887362,4,0.2682991123707062
1.3,25,False,3.0,4,6,33.33333333333333,7.8049071999999455,2.168029777777763,3,0.24671500110522693
1.3,25,True,3.0,4,6,33.33333333333333,7.8049071999999455,2.168029777777763,3,0.24671500110522693
1.5,25,False,3.0,0,10,30.0,2.321049600000265,0.6447360000000736,6,0.06252226857050663
1.5,20,False,2.5,4,12,33.33333333333333,2.1068850000005455,0.5852458333334849,5,0.05607351141597103
1.5,20,True,2.5,0,9,33.33333333333333,2.073452199999508,0.5759589444443078,5,0.06042440112656244
1.5,22,True,2.5,0,9,33.33333333333333,2.073452199999508,0.5759589444443078,5,0.06042440112656244
1.5,22,False,2.5,0,12,33.33333333333333,1.8558044999998629,0.5155012499999619,6,0.048196602326107
1.3,25,False,2.5,4,6,33.33333333333333,1.3911082999997006,0.38641897222213906,3,0.050394686220147346
1.3,25,True,2.5,4,6,33.33333333333333,1.3911082999997006,0.38641897222213906,3,0.050394686220147346
1.5,20,False,3.0,0,14,28.57142857142857,-0.14392479999901298,-0.03997911111083694,7,-0.0033208587299420954
1.3,25,False,3.0,0,7,28.57142857142857,-1.009453600000029,-0.2804037777777858,4,-0.03216367038655682
1.3,25,True,3.0,0,7,28.57142857142857,-1.009453600000029,-0.2804037777777858,4,-0.03216367038655682
1.5,25,False,3.0,4,7,28.57142857142857,-1.1640704000001278,-0.32335288888892444,4,-0.03704827402133454
1.5,25,True,3.0,4,7,28.57142857142857,-1.2489552000000685,-0.34693200000001906,4,-0.03972490292913582
1.5,20,False,3.0,4,11,27.27272727272727,-4.381669599999441,-1.2171304444442892,5,-0.11327015269791588
1.5,25,False,2.5,0,10,30.0,-7.131612899999823,-1.981003583333284,6,-0.2190685643589245
1.3,25,False,2.5,0,7,28.57142857142857,-7.470543600000269,-2.0751510000000746,4,-0.2714191899889029
1.3,25,True,2.5,0,7,28.57142857142857,-7.470543600000269,-2.0751510000000746,4,-0.2714191899889029
1.5,25,True,2.5,4,7,28.57142857142857,-7.710045200000309,-2.141679222222308,4,-0.27956292435517116
1.5,25,True,3.0,0,8,25.0,-8.189958400000023,-2.274988444444451,5,-0.25539658371513596
1.5,25,True,2.5,0,8,25.0,-14.27213480000023,-3.964481888888953,5,-0.5090568947271115
1.5,20,False,2.5,0,14,28.57142857142857,-14.451479199999426,-4.014299777777619,7,-0.38768211130717795
